Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  chrome.exe		20,080 K	28,912 K	16148	Google Chrome	Google Inc.
  chrome.exe	0.07	176,268 K	214,656 K	18664	Google Chrome	Google Inc.
  chrome.exe	< 0.01	47,492 K	65,432 K	15888	Google Chrome	Google Inc.
  chrome.exe		116,104 K	132,692 K	21216	Google Chrome	Google Inc.
  chrome.exe		86,432 K	129,072 K	7372	Google Chrome	Google Inc.
  chrome.exe		35,368 K	48,396 K	14396	Google Chrome	Google Inc.
  chrome.exe		15,592 K	22,524 K	21036	Google Chrome	Google Inc.
Teams.exe	0.02	86,156 K	129,380 K	15440	Microsoft Teams	Microsoft Corporation
 Teams.exe	< 0.01	77,344 K	92,824 K	8596	Microsoft Teams	Microsoft Corporation
 Teams.exe	< 0.01	44,620 K	63,876 K	15604	Microsoft Teams	Microsoft Corporation
 Teams.exe	0.02	306,732 K	320,036 K	18052	Microsoft Teams	Microsoft Corporation
 Teams.exe	0.02	109,956 K	131,276 K	14820	Microsoft Teams	Microsoft Corporation
lync.exe	< 0.01	237,236 K	263,820 K	10380	Skype for Business	Microsoft Corporation
Spotify.exe	0.76	133,468 K	148,976 K	20592	Spotify	Spotify Ltd
 Spotify.exe	< 0.01	34,740 K	20,952 K	15848	Spotify	Spotify Ltd
 Spotify.exe	< 0.01	137,008 K	117,620 K	3356	Spotify	Spotify Ltd
 Spotify.exe	0.02	147,828 K	191,256 K	856	Spotify	Spotify Ltd
procexp64.exe	0.16	82,256 K	104,404 K	13792	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

